Type,Md1,Md2,Md3,Md4,Mc1,Mc2,Mc3,Md5,Md6,Mc4,Mc5
A100-3-294,1,1,0,1,1,1,0,1,1,0,1
A100-3-295,1,1,1,1,1,1,1,1,1,1,0
A100-3-296,1,1,1,1,1,1,1,1,1,1,1
A100-3-297,1,1,1,1,1,1,0,1,1,1,0
A100-3-298,1,1,0,1,1,1,1,1,1,1,0
A100-3-299,1,1,1,1,1,1,0,1,1,0,1
A100-3-3,1,1,0,1,1,1,0,1,1,0,0
A100-3-30,1,1,1,1,1,1,0,1,1,1,1
A100-3-300,1,1,0,1,1,1,1,1,1,1,1
A100-3-301,1,1,0,1,1,1,1,1,1,1,1
A100-3-302,1,1,1,1,1,1,1,1,1,1,1
A100-3-303,1,1,1,1,1,1,1,1,1,0,1
A100-3-304,1,1,1,1,1,1,1,1,1,1,1
A100-3-305,1,1,0,1,1,1,0,1,1,1,1
A100-3-306,1,1,1,1,1,1,0,1,1,1,1
A100-3-307,1,1,1,1,1,1,0,1,1,1,0
A100-3-308,1,1,0,1,1,1,0,1,1,1,0
A100-3-309,1,1,1,1,1,1,0,1,1,0,0
A100-3-31,1,1,0,1,1,1,1,1,1,1,1
A100-3-310,1,1,0,1,1,1,1,1,1,1,0
A100-3-311,1,1,1,1,1,1,1,1,1,1,0
A100-3-312,1,1,0,1,1,1,0,1,1,1,0
A100-3-313,1,1,1,1,1,1,1,1,1,1,1
A100-3-314,1,1,0,1,1,1,0,1,1,1,1
A100-3-315,1,1,0,1,1,1,0,1,1,1,1
A100-3-316,1,1,1,1,1,1,0,1,1,0,1
A100-3-317,1,1,1,1,1,1,1,1,1,1,1
A100-3-318,1,1,0,1,1,1,0,1,1,0,0
A100-3-319,1,1,0,1,1,1,0,1,1,0,0
A100-3-32,1,1,1,1,1,1,0,1,1,1,0
A100-3-320,1,1,1,1,1,1,1,1,1,0,1
A100-3-321,1,1,0,1,1,1,1,1,1,0,1
A100-3-322,1,1,1,1,1,1,1,1,1,1,0
A100-3-323,1,1,1,1,1,1,1,1,1,0,0
A100-3-324,1,1,1,1,1,1,0,1,1,0,1
A100-3-325,1,1,1,1,1,1,1,1,1,1,0
A100-3-326,1,1,1,1,1,1,1,1,1,1,1
A100-3-327,1,1,1,1,1,1,0,1,1,0,1
A100-3-328,1,1,0,1,1,1,0,1,1,0,1
A100-3-329,1,1,0,1,1,1,1,1,1,1,0
A100-3-33,1,1,1,1,1,1,1,1,1,0,0
A100-3-330,1,1,1,1,1,1,1,1,1,0,1
A100-3-331,1,1,0,1,1,1,1,1,1,0,0
A100-3-332,1,1,0,1,1,1,1,1,1,1,1
A100-3-333,1,1,0,1,1,1,1,1,1,1,0
A100-3-334,1,1,1,1,1,1,1,1,1,1,1
A100-3-335,1,1,0,1,1,1,1,1,1,0,1
A100-3-336,1,1,1,1,1,1,1,1,1,0,1
A100-3-337,1,1,0,1,1,1,1,1,1,1,1
A100-3-338,1,1,1,1,1,1,0,1,1,1,1
A100-3-339,1,1,0,1,1,1,0,1,1,0,0
A100-3-34,1,1,0,1,1,1,1,1,1,1,1
A100-3-340,1,1,0,1,1,1,0,1,1,1,1
A100-3-341,1,1,0,1,1,1,1,1,1,0,0
A100-3-342,1,1,1,1,1,1,1,1,1,1,0
A100-3-343,1,1,1,1,1,1,1,1,1,0,1
A100-3-344,1,1,0,1,1,1,1,1,1,0,1
A100-3-345,1,1,1,1,1,1,0,1,1,1,1
A100-3-346,1,1,1,1,1,1,0,1,1,0,0
A100-3-347,1,1,0,1,1,1,1,1,1,0,1
A100-3-348,1,1,1,1,1,1,1,1,1,0,0
A100-3-349,1,1,1,1,1,1,1,1,1,1,0
A100-3-35,1,1,0,1,1,1,0,1,1,0,1
A100-3-350,1,1,0,1,1,1,0,1,1,0,1
A100-3-351,1,1,1,1,1,1,0,1,1,0,0
A100-3-352,1,1,0,1,1,1,0,1,1,0,1
A100-3-353,1,1,0,1,1,1,0,1,1,1,1
A100-3-354,1,1,0,1,1,1,1,1,1,1,1
A100-3-355,1,1,0,1,1,1,0,1,1,1,0
A100-3-356,1,1,0,1,1,1,0,1,1,0,1
A100-3-357,1,1,1,1,1,1,0,1,1,1,1
A100-3-358,1,1,0,1,1,1,1,1,1,0,0
A100-3-359,1,1,1,1,1,1,0,1,1,0,0
A100-3-36,1,1,1,1,1,1,0,1,1,0,0
A100-3-360,1,1,0,1,1,1,1,1,1,0,0
A100-3-361,1,1,1,1,1,1,1,1,1,0,1
A100-3-362,1,1,0,1,1,1,0,1,1,1,1
A100-3-363,1,1,0,1,1,1,1,1,1,0,1
A100-3-364,1,1,1,1,1,1,0,1,1,1,1
A100-3-365,1,1,1,1,1,1,1,1,1,0,0
A100-3-366,1,1,1,1,1,1,1,1,1,1,1
A100-3-367,1,1,1,1,1,1,1,1,1,0,1
A100-3-368,1,1,1,1,1,1,0,1,1,0,0
A100-3-369,1,1,1,1,1,1,1,1,1,1,0
A100-3-37,1,1,1,1,1,1,0,1,1,1,1
A100-3-370,1,1,1,1,1,1,0,1,1,1,1
A100-3-371,1,1,1,1,1,1,0,1,1,0,1
A100-3-372,1,1,0,1,1,1,0,1,1,0,1
A100-3-373,1,1,0,1,1,1,1,1,1,0,0
A100-3-374,1,1,1,1,1,1,1,1,1,0,1
A100-3-375,1,1,1,1,1,1,0,1,1,0,1
A100-3-376,1,1,0,1,1,1,1,1,1,0,1
A100-3-377,1,1,0,1,1,1,1,1,1,1,1
A100-3-378,1,1,1,1,1,1,1,1,1,0,1
A100-3-379,1,1,1,1,1,1,0,1,1,0,1
A100-3-38,1,1,0,1,1,1,1,1,1,0,1
A100-3-380,1,1,0,1,1,1,0,1,1,1,0
A100-3-381,1,1,0,1,1,1,0,1,1,1,0
A100-3-382,1,1,1,1,1,1,0,1,1,0,0
A100-3-383,1,1,0,1,1,1,0,1,1,0,0
A100-3-384,1,1,0,1,1,1,0,1,1,0,0
A100-3-385,1,1,1,1,1,1,0,1,1,0,1
A100-3-386,1,1,1,1,1,1,1,1,1,1,1
A100-3-387,1,1,0,1,1,1,1,1,1,0,1
A100-3-388,1,1,1,1,1,1,1,1,1,1,0
A100-3-389,1,1,1,1,1,1,1,1,1,0,0
A100-3-39,1,1,1,1,1,1,1,1,1,1,1
A100-3-390,1,1,0,1,1,1,0,1,1,0,0
A100-3-391,1,1,1,1,1,1,1,1,1,0,0
A100-3-392,1,1,1,1,1,1,1,1,1,0,1
A100-3-393,1,1,1,1,1,1,1,1,1,0,1
A100-3-394,1,1,0,1,1,1,1,1,1,1,1
A100-3-395,1,1,1,1,1,1,0,1,1,1,0
A100-3-396,1,1,0,1,1,1,0,1,1,1,0
A100-3-397,1,1,1,1,1,1,0,1,1,0,0
A100-3-398,1,1,1,1,1,1,1,1,1,1,0
A100-3-399,1,1,1,1,1,1,1,1,1,0,1
A100-3-4,1,1,0,1,1,1,0,1,1,0,0
A100-3-40,1,1,1,1,1,1,1,1,1,1,1
A100-3-400,1,1,0,1,1,1,0,1,1,0,0
A100-3-401,1,1,0,1,1,1,0,1,1,1,1
A100-3-402,1,1,1,1,1,1,0,1,1,1,0
A100-3-403,1,1,0,1,1,1,1,1,1,1,0
A100-3-404,1,1,0,1,1,1,0,1,1,1,0
A100-3-405,1,1,1,1,1,1,0,1,1,0,1
A100-3-406,1,1,0,1,1,1,1,1,1,1,1
A100-3-407,1,1,1,1,1,1,1,1,1,1,0
A100-3-408,1,1,0,1,1,1,0,1,1,1,0
A100-3-409,1,1,0,1,1,1,1,1,1,0,0
A100-3-41,1,1,0,1,1,1,0,1,1,0,0
A100-3-410,1,1,0,1,1,1,1,1,1,1,0
A100-3-411,1,1,0,1,1,1,0,1,1,1,0
A100-3-412,1,1,1,1,1,1,1,1,1,1,1
A100-3-413,1,1,0,1,1,1,1,1,1,0,0
A100-3-414,1,1,0,1,1,1,0,1,1,0,0
A100-3-415,1,1,0,1,1,1,0,1,1,1,1
A100-3-416,1,1,0,1,1,1,0,1,1,1,0
